Word,Similarity
birthstone,1.0
stone,0.745208
birthmark,0.7239501
bedrock,0.7087798
birth,0.7033558
tombstone,0.6773521
headstone,0.6730723
diamondback,0.6436653
geode,0.621204
limestone,0.62096
sapphire,0.6197249
ring,0.61596674
gravestone,0.6137215
hailstone,0.6117626
firstborn,0.61022925
rock,0.6087985
granite,0.60565245
rocks,0.602736
pebble,0.6009805
grail,0.5984159
ore,0.59745
earth,0.589447
soil,0.5769042
locket,0.5716349
whetstone,0.5704671
calcium,0.56779003
topaz,0.5651858
quartz,0.5638975
gold,0.5609509
rings,0.5581058
cobalt,0.5576266
stonemasonry,0.5526516
boulder,0.5480256
emerald,0.54801804
mine,0.5477724
earthling,0.54313
foundation,0.5431292
urn,0.5424009
sediment,0.5388478
crown,0.5375534
geologist,0.5375526
inlay,0.5360823
crystalloid,0.5351925
anvil,0.5329729
medallion,0.53218675
treasure,0.5318207
lifeblood,0.5306158
bumps,0.5295881
anniversary,0.52865374
quake,0.5270384
jade,0.52591896
chest,0.5252562
riches,0.52468
body,0.5238089
stoneware,0.52378297
pendant,0.52280533
dirt,0.5227586
shamrock,0.5225932
rose,0.52151597
excavation,0.52066386
placenta,0.52003974
natives,0.51954347
potassium,0.5192708
type,0.5191913
mines,0.5177809
uranium,0.51615584
grave,0.51516026
tomb,0.5147608
royalty,0.51441705
cement,0.5136479
bronze,0.5117874
skin,0.510916
chrome,0.50918144
clay,0.50842595
blood,0.50826705
quarry,0.5064608
engraving,0.5061619
bones,0.506141
mark,0.5053395
epitaph,0.50443745
brick,0.50389063
importance,0.5036531
bricklayer,0.50210744
graveside,0.50206614
cemetery,0.50116485
heart,0.5003242
magnesium,0.49960592
billionaire,0.4989575
kind,0.4976611
obsidian,0.4976027
bless,0.49568826
gravedigger,0.49469095
roses,0.49466425
assets,0.49451718
number,0.49439764
rite,0.49379367
things,0.4911024
forms,0.4909491
backbone,0.4907802
anthill,0.49054718
embryo,0.49013168
debutante,0.4872976
bloodstream,0.48692513
breast,0.48679703
mole,0.4867951
ground,0.4867934
fissure,0.48589545
astrologer,0.4844321
thing,0.4841668
footprint,0.48415738
advil,0.4837553
tiara,0.48350775
thumbnail,0.48347956
baptism,0.48319083
vertebrae,0.48237997
date,0.48231187
tonic,0.48096544
axes,0.48082387
ceramics,0.48080924
ashes,0.48056367
silverback,0.48035234
make,0.4801476
melanin,0.4798572
molten,0.47911057
sulfite,0.4790418
crypt,0.4779967
neckerchief,0.47725856
brickyard,0.47649747
holder,0.47584528
age,0.4757321
azalea,0.47568896
godchild,0.47547626
relationship,0.47510064
subsoil,0.47494954
seashell,0.47491947
claw,0.47259662
ringtail,0.4723813
mars,0.47191194
kin,0.47171214
truffle,0.4717005
sunray,0.47117883
gelatin,0.47093683
borax,0.47092402
object,0.46915865
stake,0.46899083
figurehead,0.46849793
stem,0.4682101
pride,0.4680481
marker,0.46800047
cake,0.46793818
biography,0.46780312
bracelet,0.467606
caste,0.46747312
babies,0.4674465
monogram,0.46744186
anchor,0.46742007
hydroxide,0.46736795
smelter,0.4673251
tonsil,0.46721095
vitamins,0.4669497
metal,0.4667682
crush,0.46589327
dignity,0.46565673
meteor,0.4656351
brass,0.4654814
nitrite,0.46502286
bosom,0.46447152
beta,0.46374455
thumb,0.46306336
numbers,0.46302706
elementary,0.46285385
nipple,0.46254525
cornea,0.46240166
italics,0.4618091
queen,0.4614517
sooner,0.4611472
crossbones,0.46050593
clavicle,0.4604511
bubbles,0.46014562
mate,0.45990938
famous,0.459899
bloomer,0.45960945
shovel,0.4595422
brickwork,0.45907265
carving,0.45900768
pancreas,0.45887128
celebrity,0.4584217
coffer,0.4583057
maiden,0.457465
some,0.4573282
human,0.45686314
rouge,0.45678166
boob,0.4567503
medal,0.45661777
mud,0.45642495
sculpture,0.45631826
kerchief,0.45610794
bikini,0.45605442
data,0.45589608
cube,0.45585793
rare,0.45579603
icebox,0.45541424
one,0.4551906
item,0.4551848
skull,0.4551215
baby,0.45488423
life,0.45477504
underlay,0.45463762
posion,0.45412612
pillar,0.45382732
dating,0.4534716
truth,0.4534331
bitters,0.4533111
casket,0.45301285
bodybuilder,0.45297432
signature,0.45283443
kindergartner,0.45261106
tap,0.45259658
sort,0.45240682
tanning,0.45223415
coin,0.45211232
land,0.45179704
earring,0.45178616
ribcage,0.45162803
principal,0.45144823
star,0.45141053
heartbeat,0.45119137
sixpence,0.45105943
pyramid,0.45084617
commodity,0.45055503
keypad,0.4497952
bioluminescence,0.4495743
footplate,0.4494658
mass,0.44930515
node,0.44909784
cyst,0.44907755
tooth,0.44870648
marmalade,0.4484278
respect,0.44836167
bra,0.44813216
flake,0.4479161
cinder,0.44756663
investments,0.44716644
glitter,0.44699103
crayon,0.44698215
timepiece,0.4463886
giver,0.44627407
infant,0.44619262
rosebush,0.44575122
gimlet,0.44574267
ashtray,0.44550097
physique,0.44525543
soap,0.4452014
bride,0.444926
circle,0.44416684
geyser,0.4441477
vase,0.44403893
person,0.44351488
gingerroot,0.44313407
monument,0.44293696
ballet,0.4427475
bloomers,0.4426995
silver,0.44247675
beginner,0.44246408
mother,0.44242138
breasts,0.4423865
coalminer,0.44214964
beacon,0.44200712
money,0.44191813
teem,0.44190145
birch,0.44174796
neck,0.44173533
well,0.441666
acquaintance,0.44157198
me,0.44135365
flathead,0.4413417
dislocation,0.44127548
hyacinth,0.4412624
baron,0.44069368
keratin,0.44023582
virgin,0.44005477
freshness,0.43996143
water,0.4397686
iron,0.439648
chestnut,0.43962878
fluoride,0.4396215
seismologist,0.43942857
makeup,0.43940407
square,0.4391995
tutu,0.43892163
stuff,0.43884706
face,0.43879953
bureau,0.43861037
rockstar,0.4384089
kindergartener,0.4383682
womb,0.4381451
keystroke,0.43806857
candleholder,0.43799394
sunburn,0.43787742
handprint,0.43782946
monarch,0.4378131
kiss,0.43777427
putty,0.43769237
fertilizer,0.43759778
treasury,0.43756306
instep,0.43733695
icebreaker,0.43708423
goblet,0.43703872
lifer,0.43701926
lock,0.43687654
deformation,0.43683577
belongings,0.43667084
rubble,0.43662712
footbath,0.43656486
neckwear,0.4363805
lime,0.43633687
cipher,0.43600968
uterus,0.43578
fetus,0.43538663
nuclei,0.43520176
coal,0.4350246
suntan,0.4348416
stocks,0.43460017
earthworm,0.4345434
meaning,0.43445307
satellite,0.43422377
quicksand,0.43407547
pad,0.4340191
coding,0.4336502
flatfoot,0.4336492
cytoplasm,0.43361557
ovary,0.4334397
balm,0.4333124
fiancee,0.4332006
brazier,0.43289322
newlywed,0.43271062
sunscreen,0.4326738
rem,0.43264937
infield,0.43214756
biosphere,0.43208194
blemish,0.4320749
citizen,0.4319246
builder,0.43168467
bathtub,0.43151915
watch,0.4313762
faceplate,0.4312178
creator,0.43118072
salt,0.43103886
tub,0.43076083
carotene,0.43073758
period,0.43026173
vr,0.43014538
box,0.43007535
cherry,0.42998844
mutant,0.42976135
trinket,0.42937368
ballot,0.42932045
thick,0.4290651
electrode,0.4289493
cast,0.42885566
molehill,0.42881662
knoll,0.42830056
substance,0.428195
collarbone,0.4281181
texting,0.427779
turtle,0.42751455
lanyard,0.42739004
sickle,0.42734584
album,0.42716116
enamel,0.42695004
income,0.42693442
condition,0.4268103
creature,0.4267161
mama,0.42666844
amount,0.42645273
cyanide,0.4264152
scar,0.42636293
beaker,0.42631626
sun,0.42621943
scale,0.42621714
cerebrum,0.42606205
constellation,0.4257022
gauge,0.42537588
burrow,0.42500082
dyke,0.42491424
ethyl,0.42489004
crayfish,0.42485416
keys,0.4246947
nameplate,0.42391878
carbonation,0.4237169
gift,0.42358702
scalp,0.423418
inks,0.42333668
banking,0.42323747
buoy,0.42311966
shilling,0.42309672
lead,0.42301184
anchorage,0.42288294
moment,0.42287767
wedding,0.42249423
celebration,0.42229366
phone,0.4222652
carbondioxide,0.42223674
gourd,0.42215824
terracotta,0.4220897
idol,0.4220671
heartthrob,0.42186874
smartphone,0.42178008
liferaft,0.42168698
blossom,0.421566
methanol,0.42138147
confection,0.42134428
candle,0.42133927
explorers,0.42124707
moon,0.42119926
shakers,0.42110187
rate,0.4210587
anklet,0.42091662
godfather,0.42090076
irrelevant,0.42085415
squash,0.42074966
love,0.4207059
sickness,0.42066497
elder,0.42057365
sculptress,0.42038703
stamps,0.42026868
milkshake,0.42022288
clot,0.42019218
tops,0.42019153
rocket,0.42015576
marigold,0.4200567
primer,0.42003876
bobble,0.4199963
canal,0.4198252
yellows,0.41973484
boot,0.41929898
bisque,0.41906345
ink,0.41905636
cellphone,0.41884392
supernova,0.41879407
toiletry,0.4187177
sachet,0.41847974
groom,0.41758353
encryption,0.4174545
highlighter,0.4172552
seedling,0.4169032
potpourri,0.4167982
crustacean,0.41664135
eyes,0.41653097
chlorophyll,0.41649148
mercury,0.41640788
tax,0.41638663
tapioca,0.41636822
dialer,0.41625077
correct,0.4162398
hormone,0.41607147
waterbed,0.41598582
batch,0.41563454
beads,0.41549677
mapping,0.41548845
osmosis,0.41542298
cadaver,0.4153971
icing,0.41507775
periods,0.41495383
baroness,0.41492435
tray,0.4149178
socialite,0.41489458
gauntlet,0.4148331
riverbed,0.41479582
tesla,0.41474426
affect,0.4145888
pavement,0.41454053
rookie,0.41448247
tinderbox,0.41436768
division,0.41432983
cauldron,0.4141861
seed,0.41417694
tidewater,0.41409928
pioneer,0.4139949
pancake,0.41389436
contraception,0.41387182
croaker,0.4138422
neckline,0.41326404
rectangle,0.41310728
cavern,0.4130581
blip,0.4129545
classical,0.41292715
friendship,0.41290897
watchband,0.412872
bob,0.41275615
leviathan,0.41266233
milk,0.4125507
neat,0.41253036
peasant,0.4124705
beet,0.4122633
wonder,0.41223776
bedspring,0.41193864
rolex,0.41181815
blueberry,0.4118125
catacomb,0.4117817
contact,0.41176432
brownie,0.4117218
nebula,0.4116903
petal,0.41167063
hair,0.41146886
wallet,0.4109399
baker,0.41093302
heat,0.41090044
vibration,0.4108824
chock,0.4106393
nugget,0.41062528
ace,0.41059482
inflection,0.41058326
cosmonaut,0.41048574
peer,0.41033143
spore,0.41024947
thickener,0.41019475
cardboard,0.41018164
bell,0.40979058
hello,0.40972555
intelligence,0.4095403
cent,0.40947133
custard,0.40937304
anchovy,0.40926272
vanilla,0.4092514
powder,0.40922758
serum,0.40922645
geographer,0.4089245
tux,0.40888435
hand,0.40883446
brian,0.40866566
transgender,0.40843958
vial,0.40823913
son,0.40816897
trachea,0.40811747
points,0.4081037
celing,0.4079919
scales,0.40794218
clock,0.40788567
mainsheet,0.40785646
bro,0.40768707
brainstem,0.40761238
nape,0.40758932
valley,0.40758374
shield,0.4075197
come,0.4074859
handshake,0.4074306
flower,0.40703964
giblets,0.40701106
understanding,0.40692037
lettering,0.40682796
vault,0.40680665
palette,0.4067994
cervix,0.4067294
soda,0.4066919
prosthesis,0.40664834
bishop,0.40658057
prune,0.40645093
nitrogen,0.40634197
toe,0.40617833
belly,0.40612808
herringbone,0.40611947
print,0.40592617
wishbone,0.40588936
gainer,0.40540123
hearth,0.4051622
confetti,0.40501547
chamomile,0.4049219
fairy,0.40481257
corpse,0.40451956
matchmaker,0.40444502
tonsillectomy,0.4042584
stars,0.40414378
tool,0.40408915
cereals,0.40405333
torchbearer,0.40398008
blade,0.4039055
bible,0.40373477
cupcake,0.40373302
forger,0.40355533
blackhead,0.40351307
temperature,0.40335292
scan,0.4028771
privates,0.40282482
handset,0.40269196
finger,0.40254295
single,0.4024825
breadbox,0.40241972
asphalt,0.40235195
sweetheart,0.40214106
stationery,0.40210068
cuttlefish,0.40205887
brow,0.40200168
cycle,0.40163136
accept,0.40157998
lithograph,0.40154845
digger,0.40115649
hickey,0.40109465
slate,0.4009362
kink,0.40092814
fingertip,0.40056837
curve,0.4004215
year,0.4002305
confectionery,0.4000889
scapula,0.40008035
chronograph,0.40007603
reaper,0.3999437
outer,0.3998498
insurance,0.39983958
greenback,0.39953783
bran,0.3995008
boiler,0.39947203
ammonium,0.3993436
false,0.39933527
template,0.3991429
confidant,0.39906895
camera,0.3987788
titanic,0.39870542
file,0.3986392
waterfall,0.39852262
joy,0.398258
nutrition,0.39797828
london,0.397892
cottage,0.39784998
spacecraft,0.3978182
giblet,0.39769548
sheets,0.3976609
pottery,0.39763677
ledge,0.3976157
nails,0.39757115
flowers,0.39750135
bobtail,0.3974873
needles,0.39730793
excavator,0.39723873
mullet,0.39723137
weight,0.3970229
woodblock,0.39698344
pillbox,0.39696112
pond,0.3969159
vodka,0.39690712
wax,0.39682707
maker,0.39679933
dust,0.39677137
mirror,0.39660677
genome,0.39660186
arch,0.3965606
sterilizer,0.39648312
girdle,0.39645237
skittle,0.39638314
confectioner,0.3962712
steeple,0.3962479
fruitcake,0.3961903
litter,0.3961649
english,0.3961505
fondness,0.396086
tyke,0.39604622
hairstyle,0.39602834
taxes,0.3957728
eggshell,0.39569688
rye,0.3956962
abdomen,0.39564475
cola,0.39548197
forefinger,0.39546984
snapshot,0.3953903
atoms,0.39528698
electroplate,0.39522108
cashbox,0.39511195
stethoscope,0.3950558
kayak,0.39503977
disease,0.39496475
barometer,0.39493102
living,0.3949017
diva,0.39489657
medalist,0.39483443
frame,0.39473695
cheesecake,0.3946989
knot,0.39462972
cell,0.3946184
nerve,0.3945585
jawbreaker,0.394468
citrus,0.39405864
partition,0.39397973
brain,0.39389205
deed,0.39382192
trunk,0.39382
embarrasment,0.3937782
stash,0.39368415
testicle,0.39364678
micrometer,0.39356714
brassiere,0.39346436
beeper,0.39329845
freemason,0.39326498
castle,0.3932575
thirst,0.39323997
ringer,0.393093
sorrow,0.3930867
midsection,0.3930815
jellyroll,0.39304793
platform,0.39303806
nose,0.39300922
letter,0.39299768
quiche,0.39285558
artery,0.39280814
bank,0.39268714
prince,0.39267752
gallbladder,0.39261752
recorder,0.39259475
majestic,0.39250922
gland,0.3923653
account,0.39229327
pocket,0.39228278
collection,0.3922149
gasses,0.39219067
blister,0.3920287
valve,0.3919892
hunks,0.39180103
contribution,0.39172664
knife,0.39162704
build,0.39157665
rockets,0.3915065
ugliness,0.39144063
charcoal,0.39143112
resevoir,0.39137685
peninsula,0.3912443
lizard,0.39115524
pumpkin,0.3911532
sty,0.3911394
gram,0.391132
bleach,0.39102042
bumper,0.39100805
stroke,0.39088535
earlobe,0.39054582
carcinogen,0.39048016
hatchback,0.39044607
tummy,0.39041126
evolution,0.39038548
boots,0.3902918
paprika,0.39029098
column,0.39028075
reed,0.39021552
buttons,0.3901908
crack,0.39004296
falls,0.3899216
beets,0.3899203
biologist,0.38973367
denture,0.38971552
binder,0.3896723
residency,0.3895735
plasma,0.3895433
hill,0.3895131
vibrator,0.3894811
sensor,0.38946378
bristle,0.38924807
slice,0.3891918
kayaker,0.38915834
tusk,0.38906857
fleck,0.38894168
thumbtack,0.38885486
urine,0.3885779
champagne,0.38857192
tribe,0.38853133
mead,0.3884633
trophy,0.38844007
sex,0.38839382
shrine,0.3883469
codex,0.38829955
engineer,0.38823316
shifter,0.38822645
tinsmith,0.38782644
stockade,0.387788
tiller,0.38765597
cousin,0.3876292
skyrocket,0.3875379
rivers,0.3875082
pallbearer,0.3874678
microprobe,0.38744092
parishioner,0.3873496
nitroglycerine,0.38728637
geek,0.38721365
mathematician,0.38701683
eggs,0.38690048
abrasion,0.38688788
riverbank,0.3868546
visor,0.38684022
cove,0.3866274
cash,0.38653523
froth,0.38651645
orange,0.3863866
karam,0.38637424
rake,0.3863039
depositor,0.38624382
tot,0.38623428
steel,0.38618696
deceased,0.38610423
floodplain,0.38600165
photograph,0.38584998
sliver,0.3858273
flusher,0.38582343
pagan,0.38577262
teapot,0.38574806
bog,0.38555217
mitten,0.38551158
attendees,0.3855062
snot,0.38534
workbench,0.38529545
bread,0.38528386
boysenberry,0.3852567
article,0.3852386
cushion,0.38519043
cork,0.38514507
baseball,0.38512197
epidermis,0.3848045
citation,0.38478807
reptile,0.38465837
pudding,0.38464916
commandments,0.3844903
liqueur,0.38442746
tailbone,0.38439927
chevron,0.38421386
state,0.38408375
stomach,0.38407487
deadfall,0.3838989
brooder,0.38362908
thumbhole,0.38361242
paleontologist,0.38358462
variation,0.38344127
chateau,0.3834253
empathy,0.38336277
garden,0.38335672
swimsuit,0.38335294
landscape,0.3832912
gash,0.38322437
comet,0.3831932
banana,0.38308775
pillow,0.38306594
oat,0.3829655
attention,0.38273636
moonbeam,0.3827012
matches,0.38265723
rot,0.3826525
probe,0.38263607
rosary,0.38257188
featherbed,0.38247108
altar,0.38240618
sherbet,0.3822498
pharaoh,0.38217175
vegetable,0.38216478
teether,0.38211477
axis,0.38207483
quiz,0.38200113
reward,0.38189518
bloodworm,0.38186544
souvenir,0.38179144
banknote,0.3817747
daffodil,0.38169712
mountain,0.38160908
cup,0.38154233
hydrant,0.381514
parents,0.38148868
carbohydrates,0.38147348
metropolis,0.3814363
vellum,0.38140166
aesthetics,0.38137555
technology,0.38137487
septum,0.38125718
cancer,0.3811881
singer,0.38107052
exchange,0.38103712
mapmaker,0.3809412
forehead,0.38081113
potter,0.38073444
orchard,0.38064885
child,0.38058597
liter,0.38055897
weights,0.38054213
pompom,0.38048232
archipelago,0.3804256
jackknife,0.38040656
anemometer,0.38036364
goods,0.38032657
dead,0.38031223
gaze,0.38017195
logos,0.3801514
thingamabob,0.38014835
copper,0.3801139
chlorine,0.38003594
kilometer,0.38002777
ability,0.37997693
time,0.3799693
yeast,0.37996724
story,0.37995398
lad,0.379838
chart,0.37982184
cut,0.3797477
tuxedo,0.3796444
gridiron,0.37962845
desktop,0.3796014
country,0.37956673
oxidizer,0.37935632
mermaid,0.37927577
razor,0.37925547
male,0.37914723
thoroughbred,0.37901205
tacks,0.37899914
replica,0.37896413
decal,0.378924
christianity,0.37881887
cranberry,0.37865257
mulch,0.37838614
firewater,0.3783693
bowls,0.37835136
cereal,0.37829584
lighter,0.37821388
kettledrum,0.3781325
midline,0.37809378
bicycle,0.37787473
starch,0.37783185
lemon,0.37766534
notes,0.37765235
app,0.37752283
area,0.37747622
pipette,0.37746388
throne,0.3774302
glucometer,0.3773874
dowry,0.3772444
toga,0.377087
bayberry,0.3770646
grades,0.37703735
disclaimer,0.37702984
tick,0.3769478
cream,0.37674874
chicory,0.37667957
friend,0.37667954
orphan,0.3766773
fatality,0.37657005
them,0.3765463
