Word,Similarity
computer,1.0
laptop,0.828128
microprocessor,0.82163393
supercomputer,0.80585444
electronic,0.79661274
microchip,0.7576698
circuitry,0.7539209
mainframe,0.7336775
desktop,0.7285177
keyboard,0.72819006
machine,0.717893
processor,0.71744645
digital,0.71704686
technology,0.71266675
monitor,0.70957065
typewriter,0.7045205
ipad,0.6994159
mousepad,0.69154215
programmer,0.673041
keypad,0.6620048
server,0.65798753
router,0.6579286
internet,0.65765536
calculator,0.64519274
hacker,0.6372353
browser,0.63497925
transistor,0.63293576
appliance,0.6303624
motor,0.62967235
android,0.6247308
scanner,0.6180345
xbox,0.6178504
usb,0.6124334
electric,0.61031127
connector,0.6063228
robot,0.6055436
simulation,0.60424685
parts,0.60093343
keystroke,0.5974949
copier,0.59658957
electricity,0.5952987
phone,0.59453213
desk,0.593871
handset,0.5932418
connect,0.59295624
controller,0.59285736
screener,0.59113336
microwave,0.59022015
synthesizer,0.588993
mechanic,0.5888142
technician,0.58801603
sequencer,0.586404
photocopier,0.58350825
multiprocessor,0.5830761
transmitter,0.5827577
database,0.58090127
coding,0.58008933
contraption,0.57861185
treadmill,0.57784975
tablet,0.57773817
charger,0.5733854
diskette,0.57202226
smartphone,0.57201415
vacuum,0.5705893
socket,0.5667393
microscope,0.56630135
thingamabob,0.5647832
thing,0.56476235
sparkplug,0.5644835
drill,0.5639055
engine,0.56193864
capacitor,0.5617503
object,0.558903
things,0.5583122
cipher,0.55659306
projector,0.5561625
typist,0.5550226
synchronizer,0.5545944
transceiver,0.5542297
auto,0.5529268
cleaner,0.5526669
gameboy,0.5523102
microphone,0.5506395
scan,0.55051494
alternator,0.55040824
scrubber,0.5494677
geek,0.549464
item,0.5492963
transmission,0.54811245
solving,0.54759175
headset,0.54751956
apparatus,0.5474616
hyperdrive,0.5453961
keys,0.54509234
excavator,0.54504246
atm,0.5446811
mixer,0.5419059
radio,0.5411631
codebook,0.5406568
brain,0.538605
circuit,0.5368506
compacter,0.53674453
beeper,0.5353137
fixer,0.535148
stuff,0.5347799
microprobe,0.53331786
camera,0.53317887
superconductor,0.53311384
encryption,0.53309363
plug,0.5328429
camcorder,0.5327385
animated,0.531276
aviation,0.531198
speakers,0.531052
amplifier,0.5308999
magnetometer,0.53060627
dialer,0.5296514
controls,0.5280701
neuron,0.52748996
clutter,0.5272195
doodad,0.52655005
cellphone,0.5260354
magnet,0.5241489
wires,0.524016
screwdriver,0.5235949
inkpad,0.52341545
rig,0.5229451
web,0.5227225
workroom,0.52177733
counter,0.5205021
micrometer,0.5195176
file,0.5185027
automobile,0.5182214
space,0.51765
semiautomatics,0.5172468
cafe,0.5168327
recorder,0.51669544
plasma,0.51668924
compressor,0.5153396
app,0.51529574
tool,0.5141227
cashbox,0.5139885
crutch,0.51386434
sterilizer,0.5136707
refrigerator,0.51344293
electrician,0.5133692
copy,0.51282036
evaporator,0.51275516
latchkey,0.51218617
radiator,0.51210636
furniture,0.5120405
template,0.51179206
stapler,0.51173043
nerd,0.5116346
blackboard,0.51154506
component,0.5110029
airplane,0.51071477
hydraulics,0.51011527
sharpener,0.50995874
reactor,0.50992674
junk,0.5099217
digger,0.5098719
rocket,0.50975347
tools,0.50895584
vehicle,0.5088798
wheelchair,0.5082941
banking,0.50800776
abacus,0.5076482
plane,0.5076405
ultraviolet,0.50743735
organ,0.5071496
oxidizer,0.5069693
typesetter,0.50668746
car,0.5066636
kitchenware,0.5065846
clips,0.50656295
antenna,0.50647557
clog,0.50641966
laser,0.5059801
drone,0.5056794
electroplate,0.505175
irrelevant,0.50513023
plunger,0.50512373
landline,0.5050168
jukebox,0.50476134
cubicle,0.50467384
clock,0.50459856
cleanser,0.5041855
plastics,0.5039779
rockets,0.5035154
battery,0.5033514
spaceship,0.5031961
wiper,0.5027224
kitchen,0.50253755
kiosk,0.501178
windows,0.50072396
blender,0.5007225
workbench,0.5003894
write,0.50036836
bicycle,0.49971294
television,0.49910203
sooner,0.49862766
thermostat,0.49862325
clip,0.4985878
dash,0.49857414
centrifuge,0.4982907
mathematician,0.4979056
webcast,0.49777296
lock,0.49739203
vaporizer,0.49728
refridgerator,0.49726272
diesel,0.49708468
toliet,0.4970126
toy,0.49665704
motorbike,0.49607342
vault,0.4956047
turbine,0.49529713
oscilloscope,0.49495113
elementary,0.49468496
scrambler,0.49438667
sweatbox,0.49430656
window,0.49407268
kitchenette,0.4938982
clunker,0.49341068
chest,0.49270326
unicycle,0.4921984
stylus,0.49218303
washer,0.49139047
number,0.49137938
cockpit,0.49115443
pvc,0.491018
cytoplasm,0.49041027
light,0.48995158
cabinet,0.48943886
turntable,0.48906845
latch,0.48882383
transportation,0.48818102
room,0.4879899
spacecraft,0.48795667
bug,0.48788288
spaceport,0.4876953
mind,0.48720202
fridge,0.48713666
intelligence,0.4862407
heat,0.48614982
teether,0.4858025
building,0.4852454
alien,0.485169
cutter,0.48470065
cube,0.48453242
freeway,0.48436952
kneepad,0.48435134
videotape,0.48431754
photocopy,0.48396933
board,0.48384908
shutter,0.4838368
vr,0.4835686
eraser,0.48350856
garage,0.48327908
facsimile,0.483131
pipette,0.4829977
telephoto,0.4827999
lighting,0.48279178
spreadsheet,0.48242724
neat,0.48167747
video,0.48150185
lights,0.4814917
locomotive,0.48135832
cooler,0.48113567
vibrator,0.48087156
elevator,0.48068136
photon,0.48038304
mender,0.4800686
washstand,0.47991294
renovation,0.47939348
bank,0.4791836
numbers,0.47905385
juicer,0.47873992
super,0.47860587
edit,0.4785685
coil,0.47830394
jet,0.477755
running,0.47765893
hardcopy,0.47754073
clean,0.47733468
arcade,0.47729373
search,0.47725546
whirlybird,0.47716674
antennae,0.477111
crawlspace,0.47677386
diagram,0.4767294
snooper,0.47640842
dishwasher,0.47635078
crane,0.4761755
motorcycle,0.4759703
mine,0.47563818
some,0.4753021
dryer,0.47495303
satellite,0.4748553
couch,0.47477198
store,0.47440836
steam,0.47435492
games,0.4742744
wire,0.47423235
plastic,0.47411057
make,0.4740062
welder,0.4736727
bolt,0.47352338
furnishings,0.4731447
snapshot,0.47311378
energy,0.47307283
audiotape,0.47236568
mailbox,0.47232518
turbines,0.47156513
box,0.47141832
blacktop,0.4712598
house,0.47113612
facility,0.47105157
run,0.47100332
belongings,0.4707751
snapper,0.47066075
ink,0.4702921
electrode,0.47010723
resuscitator,0.47000134
primer,0.46997505
armoire,0.46927047
carwash,0.46921605
