Word,Similarity
polyethylene,1.0
polyester,0.86600655
plastics,0.74775004
acetylene,0.71120423
plastic,0.69680077
ethyl,0.6895914
thickener,0.6540121
glycerol,0.6517085
ether,0.6429959
carotene,0.6414788
detergent,0.63450754
energy,0.6306722
latex,0.63015056
substance,0.62600887
condensates,0.625782
methanol,0.6221844
petroleum,0.61511564
gunk,0.6137667
epidermis,0.61278284
mucous,0.60723585
nitroglycerine,0.6048448
stuff,0.5985743
chlorophyll,0.59556484
cytoplasm,0.59419894
rubber,0.5932627
gasses,0.59284806
wavelength,0.5908119
chloroform,0.59040654
enema,0.5818305
fuel,0.5807265
goop,0.579561
froth,0.5770074
petrol,0.5760291
thing,0.57377493
gasoline,0.5735326
nitrogen,0.5723
fumes,0.57113147
diesel,0.5701455
pump,0.5699779
filament,0.5683217
things,0.5670644
ejaculation,0.56528234
particulate,0.5652733
polygraph,0.5640332
acetaminophen,0.56358504
hydroxide,0.5604829
component,0.5602576
chemist,0.55966115
heat,0.5592574
electricity,0.5589649
gel,0.5588803
milk,0.5577723
electrode,0.5569962
ammonia,0.55699563
diaphragm,0.55645514
atoms,0.5552085
cheesecloth,0.5524035
cream,0.55108905
suppository,0.5510321
bubblewrap,0.55068374
plug,0.5497149
vaseline,0.54847884
glucometer,0.54730296
oxidizer,0.5462657
adhesion,0.5457901
hose,0.5448646
parts,0.54431915
plasma,0.5439791
hydroponics,0.5430972
antiseptics,0.54297006
vellum,0.54280835
sheets,0.5427489
piston,0.5425091
carbondioxide,0.54249936
photon,0.5409393
preservative,0.54038316
margarine,0.5401616
hemp,0.53936255
microscope,0.5387162
teether,0.53835434
supplies,0.53803945
oil,0.5376153
pipette,0.53748286
ozone,0.53725255
bleach,0.5371834
freon,0.5366039
antifreeze,0.53648937
mass,0.5358346
item,0.5354811
enamel,0.5333479
pipe,0.5313883
hamper,0.5310254
eyedropper,0.53097516
compressor,0.5306031
asphalt,0.5302695
infuser,0.52951616
fertilizer,0.5290872
linoleum,0.52786237
cleanser,0.52753407
drill,0.5268166
compacter,0.52657336
crystalloid,0.5258391
apparatus,0.52580154
gallon,0.5254895
sterilizer,0.5251969
electrochemist,0.52444047
sap,0.52341926
glucose,0.52269226
muslin,0.52235293
bulb,0.5205128
undercoating,0.5204891
packet,0.5201411
electric,0.5196507
keratin,0.5190133
ultraviolet,0.5179875
camisole,0.5179853
pad,0.51791596
hydraulics,0.51775813
kelp,0.5177196
carcinogen,0.51749355
amphetamine,0.51730096
tylenol,0.51720345
paper,0.5171293
transmitter,0.51700765
helium,0.51685697
d,0.51682377
pvc,0.5166085
object,0.51454484
electronic,0.5141201
evaporator,0.5136059
urine,0.5135757
serum,0.5133568
simulation,0.5129619
wiper,0.5125277
condition,0.51181245
womb,0.51127
teem,0.5096513
thick,0.50958586
butterfat,0.5093514
protein,0.5093399
toiletry,0.50902724
muffler,0.50899255
conditioner,0.50821126
puff,0.50809634
amoeba,0.507874
bubbles,0.507746
fetus,0.50701624
condensation,0.50674903
sparkplug,0.506546
steam,0.5064066
leggings,0.5064038
diffuser,0.506323
excrement,0.5062592
decongestant,0.5059391
template,0.5058283
clothing,0.5057688
nitrite,0.50548667
nutrition,0.5052532
bullets,0.50463104
drainpipe,0.5046309
dryer,0.5038671
diaper,0.50369424
sheet,0.50319
hormone,0.5031697
drywall,0.5029807
forms,0.5027755
garment,0.5027335
spreader,0.5027087
molten,0.5009601
multiprocessor,0.5008821
codeine,0.50078344
electroplate,0.4998739
appliance,0.4993438
blimp,0.49914598
water,0.4990924
article,0.49883035
drain,0.49881423
contraption,0.49855104
horn,0.4984964
osmosis,0.49826664
micrometer,0.49823773
clean,0.4977826
thingamabob,0.49719858
washer,0.49675873
commodity,0.49668688
ink,0.49657997
microprobe,0.49657625
pus,0.49609023
photosynthesis,0.49584192
chlorine,0.49543992
ammo,0.4953557
flares,0.49491572
inks,0.4947151
irrelevant,0.49400607
drapery,0.49391305
label,0.49380466
tranquilizers,0.49380457
oxygen,0.49355683
sweetener,0.49345192
denim,0.49321592
pollen,0.4925241
microwave,0.4922752
moleskin,0.4921584
gram,0.49215838
connector,0.49193275
package,0.49150383
droppings,0.49130774
sweat,0.49130237
vaporizer,0.4911373
pantyhose,0.49079636
capacitor,0.49060613
thermos,0.49014327
some,0.4900894
stirrup,0.490069
skin,0.48971638
goods,0.4895544
container,0.48955262
bosom,0.489515
primer,0.48939368
underwear,0.4892695
centrifuge,0.48923197
soap,0.48902044
melanin,0.4885909
esophagi,0.488424
underlay,0.4883079
tube,0.4879437
wax,0.4877047
dam,0.48764378
radiator,0.48748317
groceries,0.48729604
diagram,0.4867343
cyanide,0.48659956
calcium,0.4865587
sweater,0.48640412
greenhouse,0.4862647
gauze,0.48622948
outflow,0.4858889
mixer,0.48561496
circuitry,0.48537838
nipple,0.48522514
clog,0.4851104
antacid,0.48499936
cotton,0.48482752
duplex,0.48427826
lining,0.483917
matting,0.48390514
ideas,0.48283455
morphine,0.48277146
gimlet,0.48202085
dispenser,0.48189083
undergarment,0.48120844
cheese,0.48115164
wad,0.48075634
obstruction,0.4802818
bottle,0.47988206
starch,0.47975907
amplifier,0.4796644
dildo,0.47931495
washcloth,0.47925025
swaddling,0.478907
plunger,0.47869807
cleaner,0.47848457
algae,0.4783582
synthesizer,0.47808743
bloodstream,0.47799477
swimsuit,0.47780192
webbing,0.47759843
neuron,0.47740823
greens,0.47735727
stamper,0.47710916
reactor,0.47674537
puss,0.4767397
rig,0.476537
basketball,0.47651702
examiner,0.47634596
mulch,0.47614473
clips,0.4759337
make,0.47579584
ammunition,0.4751969
drug,0.4747515
plasterer,0.47449988
technology,0.4742887
stimulant,0.47381428
carbonation,0.47377914
embryo,0.47358912
needle,0.47356507
basket,0.47346905
fodder,0.4734034
diarrhea,0.4729934
spillage,0.47297388
supplier,0.47279468
stimulus,0.4726346
repellant,0.47193405
inkpad,0.47174972
gelatin,0.4715901
mist,0.47158796
ammonium,0.47123805
needles,0.47120994
dishtowel,0.47110602
coil,0.47095656
expansion,0.47070444
palette,0.47019747
screener,0.46977434
placebo,0.46972996
playmat,0.4694053
flannel,0.46923298
bumps,0.46911928
drainage,0.4690814
electrician,0.4690423
physique,0.46879226
balm,0.46878606
encasement,0.46835726
turbines,0.4683438
kitchenware,0.4682945
affect,0.46823528
drape,0.46823335
envelope,0.46812725
ejector,0.46808958
deformation,0.46802992
kink,0.4678948
cerebrum,0.46776986
pee,0.46774274
diploma,0.46748173
shit,0.4674021
processor,0.4672775
sort,0.46724057
carbohydrates,0.46701327
bioluminescence,0.46686167
astringent,0.46654415
liter,0.46643394
aesthetics,0.46631098
ladle,0.46628165
streamers,0.46628025
socket,0.46612996
wires,0.46598902
buttons,0.46577758
sunscreen,0.46574292
vacuum,0.46570885
wood,0.46561262
fumigator,0.46555984
blender,0.46551713
plants,0.465293
dividers,0.46529192
erotica,0.4652788
wallpaper,0.46518153
wormwood,0.46503606
anorexia,0.46451917
hanger,0.4642503
clip,0.46422267
vial,0.4642019
technician,0.46410862
prop,0.46409655
atmosphere,0.46363562
connect,0.46360892
coding,0.46357584
evolution,0.4633106
mousepad,0.46315515
mainsheet,0.46306536
body,0.46299344
projector,0.46294054
rag,0.46286708
beeswax,0.4627835
transistor,0.4623336
solving,0.4622832
laser,0.4621409
treatment,0.46198457
poop,0.46187484
cocoon,0.46182317
uterus,0.46163124
well,0.46155733
mouthwash,0.46137923
nicotine,0.46121383
plant,0.4611892
launderer,0.4611812
syllabus,0.46110165
rim,0.46099946
overcoat,0.46096665
motor,0.46054947
doodad,0.46051824
lighting,0.46049285
eggshell,0.46037447
larvae,0.46030453
periodical,0.4600142
beam,0.46000627
smokescreen,0.45997143
machine,0.45995098
furnishings,0.45978335
bumper,0.45964143
mud,0.45945984
clot,0.45925337
septum,0.45923454
scientist,0.45922688
marketing,0.45880014
valve,0.4585222
eggplant,0.4583441
magnesium,0.4582238
nuclei,0.45821142
medicine,0.4579262
vitamins,0.45739233
insides,0.4572559
eggbeater,0.45716584
narcotics,0.45648402
turbine,0.45628864
wigwam,0.45618963
supermarket,0.4560704
feathers,0.45606524
volkswagen,0.45578542
dummy,0.45575994
cement,0.45555425
engine,0.45548505
sty,0.4554809
opiate,0.4554073
wire,0.45536917
silk,0.45495045
transmission,0.45486397
scrubber,0.45474595
blanket,0.4547434
precipitation,0.4543775
education,0.45422924
carpet,0.454149
hummer,0.45385385
crate,0.45370412
aftermarket,0.45368087
number,0.4536475
pens,0.45362264
slop,0.45358926
poo,0.4535077
potassium,0.4534667
correct,0.45339093
prosthesis,0.45322064
sex,0.45319688
sulfur,0.45314312
flame,0.45313784
sharpener,0.45309186
eggnog,0.4530757
satinwood,0.4530577
tapeworm,0.45287555
calipers,0.45277545
legs,0.45277256
breasts,0.45255136
microphone,0.452304
peeler,0.4522817
shrimp,0.4522718
mercury,0.45196992
fat,0.45177618
casing,0.45144826
privates,0.45138365
nutshell,0.4511818
eggs,0.4510797
sheepskin,0.4509796
egg,0.4509017
crotch,0.45086336
pole,0.4508534
napkin,0.45084518
straw,0.45062357
tripe,0.45042133
elm,0.45034933
duffel,0.45023715
tarp,0.4502358
groin,0.45013934
greenery,0.44946492
apothecary,0.4494211
farting,0.44924498
levers,0.4489419
refuse,0.44862685
thermostat,0.44853425
bucket,0.44834337
trousers,0.4483235
compost,0.44829214
seed,0.4480423
importer,0.44785354
lime,0.44778952
glass,0.44778442
mathematician,0.44764036
rem,0.44758517
marmalade,0.44755602
fatness,0.44751573
tub,0.44750014
celing,0.44749063
vr,0.4474371
dike,0.44735038
mender,0.44716975
factory,0.44710773
meaning,0.44708008
walmart,0.44700277
pudding,0.44688046
document,0.44686252
interference,0.44635144
periods,0.44627887
apron,0.44611508
obesity,0.446097
lead,0.4460731
butter,0.4460234
plank,0.44596264
mattress,0.44568917
uranium,0.44557467
shedder,0.44538432
plaster,0.44515154
newsprint,0.4450414
gourd,0.44444796
megaphone,0.44443458
paddle,0.44440657
glasses,0.444389
android,0.44409868
cocaine,0.44372788
stain,0.44366506
lampshade,0.44363526
mushroom,0.4435854
junk,0.44357353
rubdown,0.44340494
fizz,0.4432654
testicle,0.443249
icepack,0.44297045
thirst,0.4429602
clutter,0.4425604
underbelly,0.4425195
lamp,0.44234937
lingerie,0.44225845
idea,0.4421322
stretch,0.4421118
glitter,0.4419185
breast,0.44179428
detonator,0.44178033
numbers,0.4415403
paste,0.4415127
digital,0.44150147
narcotic,0.441407
wrapper,0.44112802
chevron,0.44106236
paintbrush,0.44104397
underpants,0.44096637
dumpster,0.44096023
medication,0.4408133
dissembler,0.44078007
duckweed,0.44074604
heroin,0.4407068
pliers,0.4404969
hornpipe,0.4404897
tank,0.4404546
refridgerator,0.4403969
nebula,0.4403479
lifeblood,0.43994308
space,0.43984538
nuke,0.43957555
pant,0.43954208
socks,0.4393683
cosmologist,0.43928444
engineer,0.4390992
clitoris,0.4390446
flamethrower,0.43903476
plumage,0.43899953
haze,0.43896687
stomach,0.43881533
wimps,0.4385438
research,0.438505
router,0.43812382
depot,0.4380889
sewing,0.4378193
groper,0.43757188
sickness,0.43737096
physiologist,0.43720096
petal,0.4371913
methamphetamine,0.4371897
playpen,0.43712822
iron,0.43689162
vodka,0.43676668
charcoal,0.43669516
probe,0.4366334
rope,0.43658066
gland,0.43657988
vanload,0.43651402
vegetation,0.43626857
pants,0.43624234
large,0.43613717
silkworm,0.43571866
shavings,0.43569234
women,0.43563443
microprocessor,0.4354495
hoodie,0.43526316
behave,0.43520924
lettering,0.43506557
projectile,0.43505615
kind,0.43496382
stem,0.43473336
litter,0.4346118
animated,0.43460506
bloomers,0.43458754
cone,0.43449527
dishcloth,0.43448552
temperature,0.43441677
liquor,0.43434897
invoice,0.4343179
computer,0.43427566
speakers,0.43420216
flask,0.43406218
goatskin,0.4340383
wetland,0.4337994
depression,0.4337766
manuscript,0.43376422
trampoline,0.43363607
fridge,0.43361306
beverage,0.43358922
study,0.43347025
sink,0.4332752
valium,0.4330035
expo,0.43299022
truck,0.43298104
stocks,0.43288988
bikini,0.43271703
swim,0.43233898
borax,0.4322449
semiautomatics,0.43212724
rockets,0.43212438
barrel,0.43206817
dab,0.43205833
decal,0.43202674
propeller,0.43189657
ecologist,0.43186003
usb,0.43182868
insects,0.43174887
understanding,0.43170404
them,0.43147987
creature,0.4314443
walls,0.43136245
function,0.43134165
data,0.43103936
ecosystem,0.43103385
charger,0.4309882
marketplace,0.43095997
screwdriver,0.43087593
blacktop,0.4308306
fluoride,0.43066892
armload,0.43065947
chrome,0.43061665
type,0.43045825
brain,0.43040264
trash,0.43031666
freeway,0.43030775
epidural,0.4302191
bundle,0.430138
airplane,0.42974144
attire,0.42970598
antenna,0.4296965
amount,0.4296731
human,0.42960984
hummus,0.42949343
tire,0.42943266
paperwork,0.42937124
neuroscientist,0.42923108
antibiotic,0.42905226
coal,0.42893785
sachet,0.428879
manual,0.42882118
program,0.42870966
mortar,0.4283177
driller,0.42829347
scalp,0.42827165
television,0.42822695
carwash,0.42817372
board,0.42813814
anesthesia,0.4279794
belongings,0.42794698
vibration,0.42791337
toliet,0.42791235
juice,0.427832
maggot,0.4277689
oscilloscope,0.4274242
disease,0.427423
mop,0.42741555
vibrator,0.42739478
axes,0.4273499
web,0.42730278
scripts,0.42730057
swimming,0.42724228
house,0.4270749
sugar,0.42706043
toke,0.42698348
hamstring,0.42693847
skittle,0.42682314
vehicle,0.42653394
patch,0.42639568
hairspray,0.42628795
dick,0.42617142
carrots,0.42603472
floorboard,0.4260088
intelligence,0.4257644
trailer,0.42575657
monitor,0.42573836
germ,0.42563623
calculator,0.42548457
woodwork,0.42548397
mirror,0.42548135
antidepressant,0.4253968
pleat,0.42538485
hole,0.4253151
poison,0.42511263
oilman,0.42511082
accept,0.42507863
programmer,0.42505455
mutant,0.4249806
horsehair,0.42488348
antennae,0.4246887
noggin,0.42441127
sheep,0.4243961
stirrer,0.42435616
tissue,0.42430168
sediment,0.42418832
pavement,0.42413306
magazine,0.42404425
aviation,0.42395756
fleck,0.42390424
vegetable,0.42386112
outer,0.42383453
marinade,0.4236807
pornographer,0.42361513
grater,0.42353994
abdomen,0.42344415
barrier,0.42326903
tummy,0.42318696
area,0.42306483
wetsuit,0.42306465
belly,0.42301714
pond,0.42287162
acupuncture,0.4227928
keys,0.42275038
cooker,0.42272687
woodblock,0.42254698
dash,0.42217156
hairball,0.42215887
anemometer,0.42202473
kettledrum,0.42200828
transportation,0.42172277
bathrobe,0.42163697
van,0.4216314
abyss,0.42159006
tepee,0.4215657
contact,0.4214275
furniture,0.42137918
matchwood,0.4213769
instep,0.4213536
painting,0.4212941
microchip,0.42100853
perfume,0.42087227
sewer,0.42085156
watermelon,0.42075136
sandpaper,0.42064816
peanut,0.42062384
plane,0.42059425
lights,0.42057782
robot,0.42056912
psychologist,0.4205404
powder,0.42049676
mascara,0.42048475
monograph,0.42045087
feedbag,0.42035788
pyramid,0.42022306
rug,0.42013216
gap,0.42006886
write,0.4200019
poem,0.4199878
automobile,0.41996086
tractor,0.41993254
magnet,0.41990048
crib,0.4198554
mousetrap,0.41953754
scalpel,0.41942373
ore,0.41937286
sooner,0.41929102
graphologist,0.41907212
earth,0.41894573
beta,0.41891164
print,0.41890728
faucet,0.41882128
extremity,0.4187738
pool,0.41874665
