Word,Similarity
cement,1.0
cinder,0.71854997
bedrock,0.7072569
limestone,0.7016437
calcium,0.68342125
sediment,0.6529938
brick,0.6525073
brickwork,0.64098465
stone,0.61332786
quartz,0.61092174
plaster,0.6097436
rocks,0.60913706
soil,0.6086558
crystalloid,0.60520893
ceramics,0.60230374
rock,0.59940904
dirt,0.5993085
pavement,0.59881663
brickyard,0.59831667
ground,0.59773815
cork,0.59608656
foundation,0.5943778
mortar,0.5933286
rubble,0.59171957
footprint,0.59146607
bricklayer,0.59098125
substance,0.5899372
earth,0.58959556
quarry,0.58401626
clay,0.58330977
sidewalk,0.58298886
cardboard,0.5799679
crack,0.5785154
pebble,0.5781915
coffer,0.5780308
celing,0.57402885
icebox,0.5736572
gelatin,0.5734631
pillar,0.5729289
corkboard,0.57118785
icebreaker,0.57081664
mixer,0.5701126
stonemasonry,0.56898475
cyanide,0.56633526
boulder,0.56629074
cube,0.56553036
adhesion,0.5652181
woodblock,0.5634958
cobalt,0.5622859
hailstone,0.5617551
cauldron,0.56110704
quake,0.5602447
quiche,0.5598772
asphalt,0.5596782
granite,0.5574532
quicksand,0.5570971
carbonation,0.55583966
fissure,0.55435973
marker,0.5543032
tinderbox,0.5540407
icing,0.551636
enamel,0.55034614
subsoil,0.5502986
mines,0.5492184
beaker,0.54387796
powder,0.5436032
stoneware,0.543047
bleach,0.54263765
container,0.54252845
anvil,0.54225475
cocaine,0.5402397
cavern,0.5397678
beanstalk,0.5395229
mine,0.5351696
bones,0.53474396
cellar,0.53278923
preservative,0.53127474
seashell,0.5311152
anthill,0.5304809
batch,0.53045595
excavation,0.52955353
hydroxide,0.5289427
stuff,0.52814555
gel,0.52803063
eggshell,0.52787733
make,0.5260589
acetylene,0.5259857
mud,0.52557063
mulch,0.5244391
crate,0.5239529
bisque,0.5237875
drywall,0.5236919
cedar,0.52355015
molten,0.5226192
ammonium,0.5223747
icepack,0.5223208
atoms,0.5217485
type,0.51997846
geode,0.5193889
antifreeze,0.5185765
casing,0.5183964
whetstone,0.5182522
tombstone,0.51808095
borax,0.5173783
sherbet,0.517226
pottery,0.5170959
plastics,0.51666147
particulate,0.516541
glass,0.51621675
fertilizer,0.51619196
coal,0.5150558
chlorophyll,0.514747
vellum,0.51370984
birthstone,0.51364815
beet,0.5125668
clef,0.5121659
encasement,0.5112448
barricade,0.5105851
casket,0.5100082
pad,0.5099163
underlay,0.5093257
thing,0.50929195
sandcastle,0.50889534
template,0.50816154
seed,0.5080979
plastic,0.5071946
ore,0.50652164
vase,0.5061737
meteor,0.50595605
nails,0.5056818
splinter,0.5046122
barrier,0.50443137
headstone,0.50219905
oxidizer,0.50160825
cologne,0.5009644
precipitation,0.5009528
salt,0.50090116
walls,0.5005269
cipher,0.5001687
knocker,0.50015664
build,0.4996157
pus,0.4995661
things,0.4993055
carbondioxide,0.49911767
solving,0.4989164
fondue,0.49854708
sachet,0.4984675
builder,0.49797243
matchwood,0.49703872
chevron,0.4966102
gravestone,0.4965211
cumin,0.49599546
balm,0.4959015
bitters,0.49510157
clunker,0.49502373
keratin,0.4942633
chock,0.49418885
chest,0.49322712
some,0.49274415
planter,0.4924637
thickener,0.49242455
shovel,0.49182874
sundeck,0.4916801
dust,0.49135435
beets,0.49074697
beacon,0.49071074
box,0.49067408
citation,0.4905646
nuclei,0.49051398
compacter,0.49024266
masher,0.48981276
commodity,0.48886567
kind,0.4888352
cream,0.48805404
confection,0.48718804
detonator,0.4871719
comet,0.48690462
earthling,0.48656428
stem,0.48650336
gunk,0.4861229
glitter,0.48579115
object,0.48577118
workbench,0.48555183
chlorine,0.48551714
wax,0.4850607
excavator,0.48468152
corkscrew,0.48406935
potter,0.4840473
sulfite,0.48329008
compost,0.48319384
pothole,0.48315215
chrome,0.4831383
handcart,0.48307848
paste,0.4830442
icicle,0.482544
ashes,0.48241666
crevice,0.48232698
cherry,0.48170286
geologist,0.48134112
confectionery,0.48002946
astringent,0.4798897
bubbles,0.47977856
ether,0.47963881
stain,0.47948557
mars,0.4790098
cubicle,0.4782345
substation,0.4782157
cactus,0.47817072
chloroform,0.47803158
seedling,0.47798198
bucket,0.47759634
brass,0.4771797
cluster,0.47691557
kiss,0.4768393
jade,0.4765505
coalminer,0.47641248
brooder,0.47634304
tonic,0.47632694
cell,0.47518685
smelter,0.47500885
trench,0.47487015
clam,0.4746092
water,0.47455558
sort,0.4742601
pvc,0.47400656
codeine,0.47400105
sculpture,0.47395322
solver,0.47378543
cytoplasm,0.47353095
confetti,0.4731354
litter,0.4729303
nitrogen,0.47278267
shamrock,0.4726372
mark,0.47195202
flake,0.47186267
rose,0.4718205
soap,0.4716076
node,0.47130537
mussels,0.4710988
chemist,0.47091728
resevoir,0.47036326
vaseline,0.47024354
crevasse,0.4702103
seismologist,0.47005445
cooler,0.46998924
junk,0.4698763
chamomile,0.46947557
custard,0.4694335
grave,0.46930766
fleck,0.469241
waterbed,0.4689826
well,0.46886796
rubber,0.46818408
shakers,0.46788087
sidewall,0.46775585
sterilizer,0.46775496
polish,0.46734056
irrelevant,0.46723172
firework,0.46716848
patio,0.46716452
brazier,0.46710545
crypt,0.4669239
pickaxe,0.46678638
undercoating,0.46634388
sandpaper,0.4661641
thingamabob,0.4661427
vault,0.46592876
cone,0.4658351
mildew,0.46568024
suppository,0.46531436
elementary,0.46527904
goods,0.46510875
anchor,0.4650091
cemetery,0.46483168
plant,0.46451372
blueberry,0.4644436
canteen,0.46430317
anchorage,0.46419957
vanilla,0.46375078
fungi,0.46370143
methanol,0.46367776
fungus,0.4635175
antacid,0.46342403
electrode,0.46303964
bumper,0.46263036
bloomer,0.46244323
refuse,0.46193042
appliance,0.46184114
magnesium,0.46183407
eggbeater,0.4617775
minefield,0.4616963
thick,0.461448
abyss,0.46131325
cornhusk,0.46127418
item,0.46125692
bottle,0.46117467
icecap,0.46116316
repellant,0.4608997
codex,0.46080723
chapstick,0.46065035
mass,0.46053797
landmine,0.46038377
cloud,0.46018022
icepick,0.4601768
champagne,0.46017355
stirrer,0.45997006
beads,0.4598976
starch,0.45987147
claw,0.45972842
cleanser,0.45955405
neat,0.45919216
factory,0.45887715
varnish,0.45871192
plants,0.458584
gasses,0.4580173
carotene,0.45788366
liqueur,0.4578305
component,0.45707747
dividers,0.45697433
cane,0.45667103
truffle,0.4565729
confectioner,0.45641226
primer,0.4564103
kitchenware,0.4561532
sticks,0.45586514
uranium,0.4557669
junkman,0.45562786
creek,0.4556051
relationship,0.45558503
polyethylene,0.45555457
