Word,Similarity
meatloaf,1.0
meat,0.7331091
tenderloin,0.7293916
porkchops,0.6995387
goulash,0.6815196
kabob,0.67965096
casserole,0.67803425
porkpie,0.676175
hamburger,0.67492473
ham,0.66976124
fillet,0.6658946
sausage,0.66478515
bratwurst,0.6491449
eggs,0.64549947
steak,0.64201003
bacon,0.6349521
cheeseburger,0.63385713
pastrami,0.6286483
pilaf,0.6258713
sandwich,0.624895
carbohydrates,0.6214396
lunch,0.6178757
bread,0.6120263
giblet,0.6112648
meed,0.60885686
edibles,0.6038723
roaster,0.6004666
bun,0.5930539
spareribs,0.5922544
pancakes,0.5906999
sauerkraut,0.58974993
chop,0.5895438
chef,0.58852345
cook,0.58776665
giblets,0.5877633
hummus,0.5869626
gravy,0.5861578
protein,0.5845444
egg,0.58165336
breakfast,0.5814087
baguette,0.57884085
pancake,0.5771652
linguini,0.5759324
dinner,0.57244444
luncheon,0.5681795
churro,0.5677064
gumbo,0.5676711
pastry,0.5653409
oat,0.5641891
strudel,0.56414706
cheesecake,0.5619533
nutrition,0.56187713
butter,0.56082624
beef,0.5596741
hunger,0.5595149
lobster,0.55896544
brisket,0.55640364
bunghole,0.5534851
butterfat,0.5524418
pasta,0.55009645
parfait,0.5498503
marmalade,0.5492712
cake,0.5477446
coleslaw,0.54675055
burrito,0.54673755
onion,0.54627204
marinade,0.5416888
cooker,0.5414165
appetizer,0.5409889
wienie,0.54035413
angelfish,0.538874
skillet,0.538222
baker,0.53800416
spaghetti,0.5376537
mealworm,0.53561085
fork,0.5353173
turkey,0.53440845
wheat,0.53372693
caramel,0.5319686
guts,0.5315598
custard,0.5307155
cheese,0.5302918
slice,0.5301714
stirfry,0.52988815
cutlery,0.5298556
banquet,0.5295528
griddle,0.5281724
cleaver,0.5280237
flour,0.5273937
oven,0.5271245
shortbread,0.52452254
rib,0.5243027
hotdog,0.52282584
stuffing,0.5222604
teriyaki,0.5205078
lamb,0.52027714
guacamole,0.5201777
deli,0.51977724
lunchbox,0.518008
soup,0.5180051
haunch,0.51667917
cookbook,0.5164147
pie,0.51583385
quiche,0.5155069
brownie,0.5137638
pudding,0.5133163
caterer,0.513041
nuts,0.51232076
sesame,0.51222396
fat,0.5118346
apron,0.51170456
wiener,0.5107793
groceries,0.51046383
eggbeater,0.51032513
marshmallow,0.5097186
garlic,0.50950825
vegetable,0.5090194
thingamabob,0.5084053
salad,0.50781274
confection,0.507004
broiler,0.5067635
grater,0.50452936
plate,0.50438803
tripe,0.5024861
eggplant,0.5022054
breadbox,0.5020105
